1428;;nahua tepaneca;En torno a Tenochtitlán y Azcapotzalco. Se tiene registro de diversos levantamientos desde el siglo X con la conformación de los Estados militaristas de la época precolombina;tenochtitlán   ;9015;;;
;;;;azcapotzalco;9002;;;
;;;;huexotla ;15099;;;
;;;tlaxcala y mexica inica inv europea;cuetlaxtlan ;30049;;;
;;;;cempoallan ;30134 30016;;;
